INFO 2025-04-06 18:04:52,195 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-06 18:04:52,359 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/mmap.cpython-310-darwin.so first seen with mtime 1654533867.0
DEBUG 2025-04-06 18:04:52,359 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/json/decoder.py first seen with mtime 1654533577.0
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/admindocs/utils.py first seen with mtime 1714826478.1921825
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/checks/templates.py first seen with mtime 1714826478.56707
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/requests/__version__.py first seen with mtime 1732828296.9904277
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/urllib3/contrib/__init__.py first seen with mtime 1732828296.8524997
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/validators.py first seen with mtime 1731529594.4780421
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/urllib3/__init__.py first seen with mtime 1732828296.850093
DEBUG 2025-04-06 18:04:52,359 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/http/__init__.py first seen with mtime 1654533577.0
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/parsers.py first seen with mtime 1731529594.4747148
DEBUG 2025-04-06 18:04:52,359 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/__init__.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,359 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/iterators.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/conf/global_settings.py first seen with mtime 1714826478.0412815
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/management/sql.py first seen with mtime 1714826478.5729406
DEBUG 2025-04-06 18:04:52,359 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/gettext.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,359 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/html/parser.py first seen with mtime 1654533577.0
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/templatetags/__init__.py first seen with mtime 1714826478.6144717
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/templatetags/l10n.py first seen with mtime 1714826478.6148136
DEBUG 2025-04-06 18:04:52,359 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/_weakrefset.py first seen with mtime 1654533576.0
